id_label_in_documents,name,english (X Huy 1-400),english (Ngọc Linh 400-700),english (Trung Khánh 700-1000),url,id_label_in_documents
1,bãi cỏ,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00082.mp4?autoplay=true,1
2,bực mình,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0036.mp4?autoplay=true,2
3,ông bà,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0151B.mp4?autoplay=true,3
4,hay là (hoặc là),,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0243B.mp4?autoplay=true,4
5,không cho,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0033B.mp4?autoplay=true,5
6,bên trên,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00240.mp4?autoplay=true,6
7,cùng / với (giới từ),,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0166.mp4?autoplay=true,7
8,họ (2 người) (đại từ),,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0136.mp4?autoplay=true,8
9,làm được,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0438.mp4?autoplay=true,9
10,ở ngoài,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W02580B.mp4?autoplay=true,10
11,tuần này,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0416B.mp4?autoplay=true,11
12,từ chối,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0103B.mp4?autoplay=true,12
13,nhưng,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0242B.mp4?autoplay=true,13
14,một ít/ một chút,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0184.mp4?autoplay=true,14
15,là gì?,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01911B.mp4?autoplay=true,15
16,còn bạn?,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0121.mp4?autoplay=true,16
17,hoặc,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0188B.mp4?autoplay=true,17
18,có … không?,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0098.mp4?autoplay=true,18
19,các bạn,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00400.mp4?autoplay=true,19
20,để (đặt),,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01173.mp4?autoplay=true,20
21,trong khoảng,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0290.mp4?autoplay=true,21
22,chúng tôi (2 người) (đại từ),,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0130.mp4?autoplay=true,22
23,ra ngoài,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W02825B.mp4?autoplay=true,23
24,khác,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01757.mp4?autoplay=true,24
25,làm việc,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01928.mp4?autoplay=true,25
26,thời gian biểu,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03303.mp4?autoplay=true,26
27,nói chuyện,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W02523.mp4?autoplay=true,27
28,mỗi,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W02237.mp4?autoplay=true,28
29,không có,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0112.mp4?autoplay=true,29
30,vui mừng,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03889B.mp4?autoplay=true,30
31,muốn,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W02221B.mp4?autoplay=true,31
32,không khí,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01841.mp4?autoplay=true,32
33,cũng vậy/cũng thế,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0118.mp4?autoplay=true,33
34,chơi,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00639B.mp4?autoplay=true,34
35,nhỏ/ nhỏ bé,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W02500.mp4?autoplay=true,35
36,cuối tuần,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0419.mp4?autoplay=true,36
37,nhà vệ sinh,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0485.mp4?autoplay=true,37
38,đọc sách,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01239.mp4?autoplay=true,38
39,tay,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03090.mp4?autoplay=true,39
40,cổng,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00854.mp4?autoplay=true,40
41,to lớn,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03466.mp4?autoplay=true,41
42,chính tả,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00619.mp4?autoplay=true,42
43,thêm,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03240.mp4?autoplay=true,43
44,đất,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01135.mp4?autoplay=true,44
45,phải không?,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0120B.mp4?autoplay=true,45
46,cao (người),,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00415.mp4?autoplay=true,46
47,rộng lớn,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W02872.mp4?autoplay=true,47
48,theo dõi,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03228.mp4?autoplay=true,48
49,hành động,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01554.mp4?autoplay=true,49
50,xin lỗi,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03990.mp4?autoplay=true,50
51,đi,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01190.mp4?autoplay=true,51
52,tóm tắt,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03482.mp4?autoplay=true,52
53,phân loại,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W02615.mp4?autoplay=true,53
54,cần không?,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0122B.mp4?autoplay=true,54
55,trang điểm,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0445.mp4?autoplay=true,55
56,cha mẹ,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00482.mp4?autoplay=true,56
57,gần gũi,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W01397.mp4?autoplay=true,57
58,tự (tự làm),,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W03568.mp4?autoplay=true,58
59,gấp đôi,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0247.mp4?autoplay=true,59
60,gấp ba,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0248.mp4?autoplay=true,60
61,quan sát,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0256.mp4?autoplay=true,61
62,xảy ra,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0258.mp4?autoplay=true,62
63,đói không?,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0371.mp4?autoplay=true,63
64,mệt không?,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0370.mp4?autoplay=true,64
65,chiên/rán (1)(2),,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0373.mp4?autoplay=true,65
66,nướng,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0374.mp4?autoplay=true,66
67,luộc,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0375.mp4?autoplay=true,67
68,xào,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0376.mp4?autoplay=true,68
69,lẩu,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0377.mp4?autoplay=true,69
70,thối,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0381.mp4?autoplay=true,70
71,thiu,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0382.mp4?autoplay=true,71
72,nguội,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0383.mp4?autoplay=true,72
73,đồ ăn,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0444.mp4?autoplay=true,73
74,luộc rau,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0455.mp4?autoplay=true,74
75,nước mắm,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/D0457.mp4?autoplay=true,75
76,sáng,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00024.mp4?autoplay=true,76
77,áo,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00028.mp4?autoplay=true,77
78,ăn uống,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00042.mp4?autoplay=true,78
79,ấm áp,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00051.mp4?autoplay=true,79
80,ẩm ướt,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00050.mp4?autoplay=true,80
81,ban đêm,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00086B.mp4?autoplay=true,81
82,bản thân,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00104.mp4?autoplay=true,82
83,bạn,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00110B.mp4?autoplay=true,83
84,bánh mì,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00137B.mp4?autoplay=true,84
85,bao giờ?,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00145B.mp4?autoplay=true,85
86,báo động,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00163.mp4?autoplay=true,86
87,bắp ngô,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00196B.mp4?autoplay=true,87
88,bắt tay,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00202.mp4?autoplay=true,88
89,bóc vỏ,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00300.mp4?autoplay=true,89
90,buổi tối,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00369B.mp4?autoplay=true,90
91,buổi chiều,,,,https://minio.aiotlab-annotation.com/documents/videos_samples/W00366.mp4?autoplay=true,91
